iter	Logloss
0	0.665324405
1	0.6428732814
2	0.625048683
3	0.610939765
4	0.5999235069
5	0.5914270751
6	0.5835637959
7	0.5772156412
8	0.5720144935
9	0.5677212914
10	0.5644555132
11	0.5613359834
12	0.5587809205
13	0.5567166849
14	0.5548133973
15	0.5530736908
16	0.5517012578
17	0.5505391775
18	0.5493040821
19	0.548251968
20	0.5475277218
21	0.5467652367
22	0.5460371445
23	0.5453643554
24	0.5448260343
25	0.5443412158
26	0.543791589
27	0.5434281012
28	0.5429932969
29	0.5427053935
30	0.5422356202
31	0.5417686912
32	0.5414768645
33	0.5412018138
34	0.5409611104
35	0.5405504164
36	0.5402588014
37	0.5400338319
38	0.5398711826
39	0.539703266
40	0.5394781959
41	0.5392489365
42	0.5390410179
43	0.5388982906
44	0.5387015098
45	0.5385637279
46	0.5384327711
47	0.5382589988
48	0.5380187929
49	0.5378683582
50	0.5375962717
51	0.5373877986
52	0.5372312137
53	0.5370536359
54	0.5369485937
55	0.5368520045
56	0.5367740154
57	0.5366145687
58	0.5365043661
59	0.5364132609
60	0.536321535
61	0.5361684745
62	0.5360571133
63	0.5359911911
64	0.5359085214
65	0.5357763978
66	0.5357202087
67	0.5356630979
68	0.535552199
69	0.5354552326
70	0.5353885326
71	0.5352509579
72	0.5351352727
73	0.5350983178
74	0.5350915121
75	0.5350330185
76	0.5349078765
77	0.5348411626
78	0.5346902771
79	0.5346404058
80	0.5344980023
81	0.5344218429
82	0.5343449059
83	0.5342564538
84	0.5341726843
85	0.5340866509
86	0.5340417572
87	0.5339207439
88	0.5338649518
89	0.5338029361
90	0.5337385773
91	0.5336289146
92	0.5335071711
93	0.533451044
94	0.5334027344
95	0.5333250605
96	0.5332456085
97	0.5331823755
98	0.5331437287
99	0.5330339381
100	0.5329750432
101	0.5329214586
102	0.5328843488
103	0.5327913199
104	0.5327221665
105	0.5326317683
106	0.5325776128
107	0.5324661863
108	0.5324103238
109	0.5323049595
110	0.5321945353
111	0.5321421951
112	0.532096218
113	0.5320035658
114	0.5319502231
115	0.5318707854
116	0.5317665813
117	0.5316946368
118	0.5316211185
119	0.5315775843
120	0.531525425
121	0.5314270339
122	0.5313099147
123	0.5312534979
124	0.5311884828
125	0.531135873
126	0.5310426454
127	0.5309555056
128	0.5308262053
129	0.5307264494
130	0.5306656834
131	0.5305731677
132	0.5304959092
133	0.5304387701
134	0.5303632533
135	0.5303023208
136	0.5302300868
137	0.5301673505
138	0.5301327782
139	0.5300709234
140	0.5299647295
141	0.5298800802
142	0.5297811268
143	0.5297162999
144	0.5296717797
145	0.5296328155
146	0.5295605839
147	0.5294973899
148	0.5294400646
149	0.5294055552
150	0.5293269747
151	0.5292349034
152	0.5291479773
153	0.5290744324
154	0.5290242592
155	0.5289570891
156	0.5288995919
157	0.528827129
158	0.5287635173
159	0.5286817503
160	0.5286227893
161	0.5285874922
162	0.5285301667
163	0.5284424124
164	0.5283898628
165	0.5283520049
166	0.5282919866
167	0.5282034181
168	0.5281441599
169	0.5281038679
170	0.5280439526
171	0.5279907682
172	0.5279200747
173	0.5278413285
174	0.5277819279
175	0.5276800033
176	0.5276226182
177	0.5275533576
178	0.5274891352
179	0.5273835772
180	0.5273090325
181	0.5272562759
182	0.5271595947
183	0.527086593
184	0.5270246849
185	0.5269833703
186	0.5269235916
187	0.5268240198
188	0.5267936172
189	0.5267253558
190	0.5266406188
191	0.526604188
192	0.5264927314
193	0.5264515532
194	0.5263644927
195	0.5263032963
196	0.5262431786
197	0.5261422198
198	0.5260584732
199	0.5260035451
