iter	Passed	Remaining
0	86	17288
1	103	10272
2	124	8182
3	147	7250
4	173	6771
5	193	6244
6	216	5963
7	236	5679
8	263	5588
9	283	5395
10	302	5195
11	319	5003
12	342	4921
13	366	4865
14	391	4822
15	419	4823
16	447	4811
17	466	4720
18	494	4709
19	522	4699
20	546	4657
21	568	4598
22	595	4582
23	619	4540
24	642	4497
25	672	4497
26	701	4496
27	731	4494
28	765	4512
29	801	4539
30	831	4533
31	869	4565
32	901	4564
33	931	4550
34	973	4588
35	1000	4556
36	1024	4512
37	1048	4468
38	1071	4421
39	1096	4386
40	1127	4373
41	1159	4363
42	1192	4353
43	1230	4361
44	1264	4357
45	1304	4367
46	1345	4380
47	1387	4392
48	1428	4401
49	1458	4374
50	1482	4330
51	1506	4288
52	1531	4248
53	1556	4207
54	1576	4155
55	1607	4132
56	1630	4090
57	1653	4048
58	1677	4007
59	1705	3979
60	1731	3945
61	1761	3921
62	1787	3886
63	1810	3847
64	1835	3812
65	1861	3779
66	1883	3739
67	1906	3701
68	1930	3665
69	1953	3627
70	1982	3601
71	2011	3575
72	2029	3531
73	2058	3504
74	2070	3451
75	2095	3419
76	2120	3388
77	2145	3356
78	2169	3323
79	2192	3288
80	2214	3253
81	2239	3222
82	2262	3188
83	2284	3155
84	2304	3118
85	2329	3087
86	2354	3058
87	2379	3028
88	2406	3001
89	2430	2971
90	2455	2941
91	2482	2913
92	2504	2881
93	2530	2853
94	2555	2824
95	2580	2795
96	2604	2765
97	2626	2734
98	2650	2703
99	2675	2675
100	2697	2643
101	2722	2615
102	2743	2583
103	2765	2553
104	2796	2529
105	2823	2503
106	2846	2474
107	2870	2445
108	2893	2415
109	2916	2386
110	2948	2364
111	2971	2334
112	2995	2306
113	3018	2276
114	3039	2246
115	3061	2216
116	3084	2188
117	3109	2160
118	3133	2132
119	3158	2105
120	3187	2080
121	3214	2054
122	3236	2026
123	3260	1998
124	3282	1969
125	3312	1945
126	3338	1918
127	3362	1891
128	3385	1863
129	3408	1835
130	3431	1807
131	3455	1779
132	3479	1752
133	3502	1725
134	3527	1698
135	3549	1670
136	3571	1642
137	3598	1616
138	3620	1588
139	3643	1561
140	3668	1535
141	3693	1508
142	3716	1481
143	3748	1457
144	3770	1430
145	3791	1402
146	3810	1373
147	3833	1346
148	3859	1321
149	3881	1293
150	3903	1266
151	3927	1240
152	3951	1213
153	3975	1187
154	4002	1162
155	4026	1135
156	4048	1108
157	4074	1082
158	4097	1056
159	4122	1030
160	4147	1004
161	4169	978
162	4191	951
163	4223	927
164	4248	901
165	4271	874
166	4294	848
167	4316	822
168	4340	796
169	4362	769
170	4386	743
171	4413	718
172	4437	692
173	4462	666
174	4486	640
175	4511	615
176	4548	591
177	4573	565
178	4597	539
179	4619	513
180	4645	487
181	4666	461
182	4688	435
183	4718	410
184	4740	384
185	4764	358
186	4798	333
187	4822	307
188	4843	281
189	4866	256
190	4886	230
191	4910	204
192	4936	179
193	4960	153
194	4985	127
195	5010	102
196	5033	76
197	5057	51
198	5082	25
199	5106	0
